step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
17,PAYMENT,38398.68,C1491813860,495340.53,456941.84,M1947091889,0.0,0.0,0.0,0.0
8,PAYMENT,8507.13,C674135757,107030.0,98522.87,M451640058,0.0,0.0,0.0,0.0
40,CASH_OUT,65207.09,C105432010,11354.0,0.0,C1055477365,0.0,65207.09,0.0,0.0
15,CASH_OUT,153833.47,C90460922,0.0,0.0,C490726056,1217919.36,1371752.83,0.0,0.0
26,PAYMENT,3491.61,C381570873,5605.51,2113.9,M481443011,0.0,0.0,0.0,0.0
10,CASH_IN,136666.87,C1730422554,1320.0,137986.87,C1438512813,22478.0,0.0,0.0,0.0
14,PAYMENT,5183.18,C717355041,53923.0,48739.82,M1148701845,0.0,0.0,0.0,0.0
43,PAYMENT,13317.72,C913707232,357628.0,344310.28,M1822610677,0.0,0.0,0.0,0.0
20,CASH_OUT,13391.06,C305246429,145774.0,132382.94,C1861852584,0.0,13391.06,0.0,0.0
18,PAYMENT,11697.49,C1072043202,0.0,0.0,M737557070,0.0,0.0,0.0,0.0
40,TRANSFER,1236034.12,C573018025,0.0,0.0,C380887655,1586804.52,2822838.64,0.0,0.0
8,PAYMENT,6986.91,C66994909,4192.0,0.0,M762694994,0.0,0.0,0.0,0.0
15,CASH_OUT,400632.31,C1244658033,22051.0,0.0,C379322316,0.0,400632.31,0.0,0.0
19,PAYMENT,12305.31,C279822426,17664.0,5358.69,M1059665249,0.0,0.0,0.0,0.0
42,PAYMENT,15171.71,C360901475,0.0,0.0,M914539936,0.0,0.0,0.0,0.0
15,CASH_IN,23642.23,C1623131848,8229815.89,8253458.12,C546173035,777183.01,0.0,0.0,0.0
7,CASH_IN,357849.56,C1717266942,2318211.32,2676060.88,C1894575391,1564409.2,3443379.49,0.0,0.0
46,CASH_IN,171166.49,C409317666,6097590.28,6268756.77,C674913323,9960990.45,9789823.96,0.0,0.0
42,CASH_IN,78127.78,C1663567350,12219730.26,12297858.04,C1808242029,6363920.49,6285792.71,0.0,0.0
